edgeVariable,reportingVariable,weight,comment
appliances_light.biomod|fe,appliances_light_biomod_fe,1,
appliances_light.biomod|ue,appliances_light_biomod_ue,1,
appliances_light.biotrad|fe,appliances_light_biotrad_fe,1,
appliances_light.biotrad|ue,appliances_light_biotrad_ue,1,
appliances_light.coal|fe,appliances_light_coal_fe,1,
appliances_light.coal|ue,appliances_light_coal_ue,1,
appliances_light.elec|fe,appliances_light_elec_fe,1,
appliances_light.elec|ue,appliances_light_elec_ue,1,
appliances_light.heat|fe,appliances_light_heat_fe,1,
appliances_light.heat|ue,appliances_light_heat_ue,1,
appliances_light.natgas|fe,appliances_light_natgas_fe,1,
appliances_light.natgas|ue,appliances_light_natgas_ue,1,
appliances_light.petrol|fe,appliances_light_petrol_fe,1,
appliances_light.petrol|ue,appliances_light_petrol_ue,1,
cooking.biomod|fe,cooking_biomod_fe,1,
cooking.biomod|ue,cooking_biomod_ue,1,
cooking.biotrad|fe,cooking_biotrad_fe,1,
cooking.biotrad|ue,cooking_biotrad_ue,1,
cooking.coal|fe,cooking_coal_fe,1,
cooking.coal|ue,cooking_coal_ue,1,
cooking.elec|fe,cooking_elec_fe,1,
cooking.elec|ue,cooking_elec_ue,1,
cooking.heat|fe,cooking_heat_fe,1,
cooking.heat|ue,cooking_heat_ue,1,
cooking.natgas|fe,cooking_natgas_fe,1,
cooking.natgas|ue,cooking_natgas_ue,1,
cooking.petrol|fe,cooking_petrol_fe,1,
cooking.petrol|ue,cooking_petrol_ue,1,
space_cooling.biomod|fe,space_cooling_biomod_fe,1,
space_cooling.biomod|ue,space_cooling_biomod_ue,1,
space_cooling.biotrad|fe,space_cooling_biotrad_fe,1,
space_cooling.biotrad|ue,space_cooling_biotrad_ue,1,
space_cooling.coal|fe,space_cooling_coal_fe,1,
space_cooling.coal|ue,space_cooling_coal_ue,1,
space_cooling.elec|fe,space_cooling_elec_fe,1,
space_cooling.elec|ue,space_cooling_elec_ue,1,
space_cooling.heat|fe,space_cooling_heat_fe,1,
space_cooling.heat|ue,space_cooling_heat_ue,1,
space_cooling.natgas|fe,space_cooling_natgas_fe,1,
space_cooling.natgas|ue,space_cooling_natgas_ue,1,
space_cooling.petrol|fe,space_cooling_petrol_fe,1,
space_cooling.petrol|ue,space_cooling_petrol_ue,1,
space_heating.biomod|fe,space_heating_biomod_fe,1,
space_heating.biomod|ue,space_heating_biomod_ue,1,
space_heating.biotrad|fe,space_heating_biotrad_fe,1,
space_heating.biotrad|ue,space_heating_biotrad_ue,1,
space_heating.coal|fe,space_heating_coal_fe,1,
space_heating.coal|ue,space_heating_coal_ue,1,
space_heating.elecHP|fe,space_heating_elecHP_fe,1,
space_heating.elecHP|ue,space_heating_elecHP_ue,1,
space_heating.elecRH|fe,space_heating_elecRH_fe,1,
space_heating.elecRH|ue,space_heating_elecRH_ue,1,
space_heating.heat|fe,space_heating_heat_fe,1,
space_heating.heat|ue,space_heating_heat_ue,1,
space_heating.natgas|fe,space_heating_natgas_fe,1,
space_heating.natgas|ue,space_heating_natgas_ue,1,
space_heating.petrol|fe,space_heating_petrol_fe,1,
space_heating.petrol|ue,space_heating_petrol_ue,1,
water_heating.biomod|fe,water_heating_biomod_fe,1,
water_heating.biomod|ue,water_heating_biomod_ue,1,
water_heating.biotrad|fe,water_heating_biotrad_fe,1,
water_heating.biotrad|ue,water_heating_biotrad_ue,1,
water_heating.coal|fe,water_heating_coal_fe,1,
water_heating.coal|ue,water_heating_coal_ue,1,
water_heating.elec|fe,water_heating_elec_fe,1,
water_heating.elec|ue,water_heating_elec_ue,1,
water_heating.heat|fe,water_heating_heat_fe,1,
water_heating.heat|ue,water_heating_heat_ue,1,
water_heating.natgas|fe,water_heating_natgas_fe,1,
water_heating.natgas|ue,water_heating_natgas_ue,1,
water_heating.petrol|fe,water_heating_petrol_fe,1,
water_heating.petrol|ue,water_heating_petrol_ue,1,
buildings,floorspace,1,
residential,floorspace_residential,1,
commercial,floorspace_commercial,1,
